Название;Ссылка;Цена;Доступность для заказа;Тип
"Гуашь ""Престиж"", Луч, 12 цветов";https://fix-price.ru/product/5706162/;99;Доступно для заказа в интернет-магазине;Хит
Пластилин, Луч, 12 цветов;https://fix-price.ru/product/5706165/;55;Доступно для заказа в интернет-магазине;Хит
Набор кистей для рисования, Kid’s Fantasy, 5 шт., в ассортименте;https://fix-price.ru/product/5703037/;55;Доступно только в магазинах;
Сумка для обуви, Hupper Dupper, в ассортименте;https://fix-price.ru/product/5706172/;199;Доступно только в магазинах;
Вешалки антискользящие, Home Time, 5 шт., в ассортименте;https://fix-price.ru/product/5060215/;99;Доступно для заказа в интернет-магазине;
Тряпка для пола, BonHome;https://fix-price.ru/product/5040207/;55;Доступно для заказа в интернет-магазине;
Набор ластиков, Kid's Fantasy, в ассортименте;https://fix-price.ru/product/5703135/;55;Доступно для заказа в интернет-магазине;
Набор шариковых ручек, Block&Note, 10 шт., в ассортименте;https://fix-price.ru/product/5700354/;55;Доступно для заказа в интернет-магазине;Хит
Набор цветных фломастеров, Kid’s Fantasy, 15 шт., в ассортименте;https://fix-price.ru/product/5700316/;77;Доступно для заказа в интернет-магазине;
Ведро, 10 л, в ассортименте;https://fix-price.ru/product/5069322/;77;Доступно только в магазинах;
Вакуумный пакет с клапаном, Home Time, 50х60 см;https://fix-price.ru/product/5062047/;50;Доступно для заказа в интернет-магазине;
"Перчатки универсальные ""Бархат"", в ассортименте";https://fix-price.ru/product/5043034/;50;Доступно только в магазинах;
Щетка универсальная;https://fix-price.ru/product/5041048/;50;Доступно только в магазинах;
Тряпочки из микрофибры, BonHome, 5 шт.;https://fix-price.ru/product/5040174/;99;Доступно для заказа в интернет-магазине;
Тряпка для уборки из микрофибры, 40х60 см, в ассортименте;https://fix-price.ru/product/5040158/;77;Доступно для заказа в интернет-магазине;
Тряпка для уборки, Home Time, 50х70 см, в ассортименте;https://fix-price.ru/product/5040148/;77;Доступно для заказа в интернет-магазине;
Комплект для туалета, в ассортименте;https://fix-price.ru/product/5031017/;50;Доступно только в магазинах;
Пакеты для мусора, Grifon, ароматизированные, 30 шт., в ассортименте;https://fix-price.ru/product/5025084/;55;Доступно для заказа в интернет-магазине;
Пакеты для строительного мусора, BonHome, 240 л;https://fix-price.ru/product/5025078/;99;Доступно для заказа в интернет-магазине;
Пакеты для мусора, BonHome, 30 шт.;https://fix-price.ru/product/5025074/;27,5;Доступно только в магазинах;
Меламиновая губка-ластик, 2 шт., в ассортименте;https://fix-price.ru/product/5025061/;50;Доступно для заказа в интернет-магазине;
Наполнитель для туалета древесный;https://fix-price.ru/product/2230007/;55;Доступно для заказа в интернет-магазине;
Корм для домашних кошек, Purina One, с индейкой и злаками, 200 г;https://fix-price.ru/product/2210025/;77;Доступно только в магазинах;
Салфетка из бамбукового волокна, BonHome, 5 шт., в ассортименте;https://fix-price.ru/product/5040184/;55;Доступно для заказа в интернет-магазине;
